source,documentation,COMMON.NAME,url,OBSERVATION.DATE,LATITUDE,LONGITUDE,morph,aberration,int_rating
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/79793936,21-May-21,21.81907027,83.31207223,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/79741846,3-May-21,29.6126914,78.8117736,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/79496643,7-May-21,21.1984927,80.71694601,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/79496128,20-May-21,21.20368971,80.72314192,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/79376371,19-May-21,21.20683265,80.66859383,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/79275732,3-May-21,29.58547839,78.86243854,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/79250219,4-Mar-21,18.37586623,73.76916468,I,,1
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/79267807,3-May-21,29.6126914,78.8117736,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/79244309,19-Apr-21,33.7524937,73.0855909,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/79267795,2-May-21,29.6126914,78.8117736,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/79126723,15-May-21,29.79044139,79.55915205,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/78357277,2-May-21,29.6126914,78.8117736,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/78038717,9-May-21,22.91598081,86.14719383,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/77429938,4-May-21,21.20575959,81.6081864,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/77421449,5-May-21,21.20316333,81.3572577,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/75740393,10-Mar-21,9.846977,78.476013,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/75053833,13-Apr-21,19.18930209,72.97042597,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/74832728,10-Apr-21,21.16165761,79.01500661,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/74647838,19-Apr-21,21.20540232,81.60699382,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/74394162,10-Apr-21,28.51088815,77.40052499,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/74252392,17-Apr-21,22.2710172,81.42560676,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/74030482,15-Apr-21,29.26019736,79.54229124,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/73787259,6-Mar-21,11.03924005,76.3716799,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/73626772,2-Apr-21,29.45687087,79.58272992,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/72998990,4-Apr-21,20.68694432,81.54198412,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/72879100,4-Apr-21,15.571,73.865875,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/72010726,25-Mar-21,13.11479582,77.63462752,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/71789180,20-Mar-21,12.2886984,77.42967222,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/71692555,21-Mar-21,12.8571865,77.508911,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/71638074,20-Mar-21,12.8611569,77.4930702,I,,3
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/71121898,12-Mar-21,12.8611569,77.4930702,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/71006378,6-Mar-21,24.119719,91.446131,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/70855541,4-Mar-21,18.48630333,73.41657944,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/70855540,4-Mar-21,18.48632142,73.41659852,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/70659865,6-Mar-21,19.233765,72.9445802,R,,
