source,documentation,COMMON.NAME,SAMPLING.EVENT.IDENTIFIER,morph,aberration,int_rating
eBird,Photo,Indian Paradise-Flycatcher,S65765910,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65767912,R,,
eBird,Photo,Indian Paradise-Flycatcher,S65833949,I,,2
eBird,Photo,Indian Paradise-Flycatcher,S75848420,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65833949,W,,
eBird,Photo,Indian Paradise-Flycatcher,S66207594,R,,
eBird,Photo,Indian Paradise-Flycatcher,S67707392,R,,
eBird,Photo,Indian Paradise-Flycatcher,S67707392,W,,
eBird,Photo,Indian Paradise-Flycatcher,S66126598,W,,
eBird,Photo,Indian Paradise-Flycatcher,S68533801,R,,
eBird,Photo,Indian Paradise-Flycatcher,S66027450,R,,
eBird,Photo,Indian Paradise-Flycatcher,S66031805,W,,
eBird,Photo,Indian Paradise-Flycatcher,S66028290,R,,
eBird,Photo,Indian Paradise-Flycatcher,S66036808,W,,
eBird,Photo,Indian Paradise-Flycatcher,S66028290,W,,
eBird,Photo,Indian Paradise-Flycatcher,S86292414,R,,
eBird,Photo,Indian Paradise-Flycatcher,S68481461,R,,
eBird,Photo,Indian Paradise-Flycatcher,S66193663,R,,
eBird,Photo,Indian Paradise-Flycatcher,S66076602,W,,
eBird,Photo,Indian Paradise-Flycatcher,S73441695,W,,
eBird,Photo,Indian Paradise-Flycatcher,S66243432,R,,
eBird,Photo,Indian Paradise-Flycatcher,S67707575,W,,
eBird,Photo,Indian Paradise-Flycatcher,S66226512,R,,
eBird,Photo,Indian Paradise-Flycatcher,S66298354,I,,3
eBird,Photo,Indian Paradise-Flycatcher,S66269119,R,,
eBird,Photo,Indian Paradise-Flycatcher,S66265362,W,,
eBird,Photo,Indian Paradise-Flycatcher,S68495201,R,,
eBird,Photo,Indian Paradise-Flycatcher,S66434572,R,,
eBird,Photo,Indian Paradise-Flycatcher,S66427968,W,,
eBird,Photo,Indian Paradise-Flycatcher,S67460860,I,,7
eBird,Photo,Indian Paradise-Flycatcher,S66714654,R,,
eBird,Photo,Indian Paradise-Flycatcher,S66534708,R,,
eBird,Photo,Indian Paradise-Flycatcher,S66558107,W,,
eBird,Photo,Indian Paradise-Flycatcher,S66564215,W,,
eBird,Photo,Indian Paradise-Flycatcher,S66559453,W,,
eBird,Photo,Indian Paradise-Flycatcher,S66604949,W,,
eBird,Photo,Indian Paradise-Flycatcher,S66444930,W,,
eBird,Photo,Indian Paradise-Flycatcher,S66664600,R,,
eBird,Photo,Indian Paradise-Flycatcher,S66655436,W,,
eBird,Photo,Indian Paradise-Flycatcher,S66715137,W,,
eBird,Photo,Indian Paradise-Flycatcher,S66762425,R,,
eBird,Photo,Indian Paradise-Flycatcher,S66762375,R,,
eBird,Photo,Indian Paradise-Flycatcher,S77672807,R,,
eBird,Photo,Indian Paradise-Flycatcher, S66906667,R,,
eBird,Photo,Indian Paradise-Flycatcher,S66886594,W,,
eBird,Photo,Indian Paradise-Flycatcher,S67117651,R,,
eBird,Photo,Indian Paradise-Flycatcher,S67159875,R,,
eBird,Photo,Indian Paradise-Flycatcher,S67136611,W,,
eBird,Photo,Indian Paradise-Flycatcher,S69700770,W,,
eBird,Photo,Indian Paradise-Flycatcher,S67293331,R,,
eBird,Photo,Indian Paradise-Flycatcher,S67297687,R,,
eBird,Photo,Indian Paradise-Flycatcher,S67345593,R,,
eBird,Photo,Indian Paradise-Flycatcher,S67348726,W,,
eBird,Photo,Indian Paradise-Flycatcher,S67383289,W,,
eBird,Photo,Indian Paradise-Flycatcher,S67383289,W,,
eBird,Photo,Indian Paradise-Flycatcher,S79863390,R,,
eBird,Photo,Indian Paradise-Flycatcher,S67839961,R,,
eBird,Photo,Indian Paradise-Flycatcher,S67527851,R,,
eBird,Photo,Indian Paradise-Flycatcher,S81051717,W,,
eBird,Photo,Indian Paradise-Flycatcher,S67573600,W,,
eBird,Photo,Indian Paradise-Flycatcher,S74362764,W,,
eBird,Photo,Indian Paradise-Flycatcher,S67967060,R,,
eBird,Photo,Indian Paradise-Flycatcher,S68854028,W,,
eBird,Photo,Indian Paradise-Flycatcher, S68300524,W,,
eBird,Photo,Indian Paradise-Flycatcher,S68849117,R,,
eBird,Photo,Indian Paradise-Flycatcher,S68849117,W,,
eBird,Photo,Indian Paradise-Flycatcher,S68648074,I,,3
eBird,Photo,Indian Paradise-Flycatcher,S68648074,R,,
eBird,Photo,Indian Paradise-Flycatcher,S68648074,W,,
eBird,Photo,Indian Paradise-Flycatcher,S68901399,R,,
eBird,Photo,Indian Paradise-Flycatcher,S68961570,W,,
eBird,Photo,Indian Paradise-Flycatcher,S69190105,R,,
eBird,Photo,Indian Paradise-Flycatcher,S166020125,R,,
eBird,Photo,Indian Paradise-Flycatcher,S69458795,W,,
eBird,Photo,Indian Paradise-Flycatcher,S96353525,R,,
eBird,Photo,Indian Paradise-Flycatcher,S69603114,W,,
eBird,Photo,Indian Paradise-Flycatcher,S70341938,W,,
eBird,Photo,Indian Paradise-Flycatcher, S69921757,W,,
eBird,Photo,Indian Paradise-Flycatcher,S70298822,W,,
eBird,Photo,Indian Paradise-Flycatcher,S79878430,R,,
eBird,Photo,Indian Paradise-Flycatcher,S70069330,W,,
eBird,Photo,Indian Paradise-Flycatcher,S70231138,R,,
eBird,Photo,Indian Paradise-Flycatcher, S78353023,R,,
eBird,Photo,Indian Paradise-Flycatcher,S70341079,W,,
eBird,Photo,Indian Paradise-Flycatcher,S70339593,I,,3
eBird,Photo,Indian Paradise-Flycatcher,S70339593,W,,
eBird,Photo,Indian Paradise-Flycatcher,S70533944,R,,
eBird,Photo,Indian Paradise-Flycatcher, S70533944,W,,
eBird,Photo,Indian Paradise-Flycatcher,S70469464,W,,
eBird,Photo,Indian Paradise-Flycatcher,S96342404,R,,
eBird,Photo,Indian Paradise-Flycatcher,S70527702,R,,
eBird,Photo,Indian Paradise-Flycatcher,S70519475,W,,
eBird,Photo,Indian Paradise-Flycatcher,S70526962,W,,
eBird,Photo,Indian Paradise-Flycatcher,S70557411,I,,4
eBird,Photo,Indian Paradise-Flycatcher,S101123786,R,,
eBird,Photo,Indian Paradise-Flycatcher,S70557411,W,,
eBird,Photo,Indian Paradise-Flycatcher, S70589786,W,,
eBird,Photo,Indian Paradise-Flycatcher,S70668403,R,,
eBird,Photo,Indian Paradise-Flycatcher,S70945083,R,,
eBird,Photo,Indian Paradise-Flycatcher,S70664550,R,,
eBird,Photo,Indian Paradise-Flycatcher,S70761329,R,,
eBird,Photo,Indian Paradise-Flycatcher,S70738168,W,,
eBird,Photo,Indian Paradise-Flycatcher,S70656957,W,,
eBird,Photo,Indian Paradise-Flycatcher,S70730625,W,,
eBird,Photo,Indian Paradise-Flycatcher,S70831368,I,,1
eBird,Photo,Indian Paradise-Flycatcher,S71261776,R,,
eBird,Photo,Indian Paradise-Flycatcher,S70944755,W,,
eBird,Photo,Indian Paradise-Flycatcher,S134685398,R,,
eBird,Photo,Indian Paradise-Flycatcher,S71041794,R,,
eBird,Photo,Indian Paradise-Flycatcher,S71041673,W,,
eBird,Photo,Indian Paradise-Flycatcher,S71306428,R,,
eBird,Photo,Indian Paradise-Flycatcher,S71306428,W,,
eBird,Photo,Indian Paradise-Flycatcher,S71389667,W,,
eBird,Photo,Indian Paradise-Flycatcher,S71688751,W,,
eBird,Photo,Indian Paradise-Flycatcher,S71389941,W,,
eBird,Photo,Indian Paradise-Flycatcher,S71218567,R,,
eBird,Photo,Indian Paradise-Flycatcher,S71314034,I,,5
eBird,Photo,Indian Paradise-Flycatcher,S71314034,W,,
eBird,Photo,Indian Paradise-Flycatcher, S71339445,W,,
eBird,Photo,Indian Paradise-Flycatcher,S71378742,W,,
eBird,Photo,Indian Paradise-Flycatcher,S71336963,W,,
eBird,Photo,Indian Paradise-Flycatcher,S71372393,R,,
eBird,Photo,Indian Paradise-Flycatcher,S71416612,W,,
eBird,Photo,Indian Paradise-Flycatcher,S71509133,I,,3
eBird,Photo,Indian Paradise-Flycatcher,S71509133,W,,
eBird,Photo,Indian Paradise-Flycatcher,S71623953,R,,
eBird,Photo,Indian Paradise-Flycatcher,S79057587,R,,
eBird,Photo,Indian Paradise-Flycatcher,S71539266,W,,
eBird,Photo,Indian Paradise-Flycatcher,S71593011,R,,
eBird,Photo,Indian Paradise-Flycatcher,S71635662,W,,
eBird,Photo,Indian Paradise-Flycatcher,S71624287,W,,
eBird,Photo,Indian Paradise-Flycatcher,S75584043,R,,
eBird,Photo,Indian Paradise-Flycatcher,S72064998,R,,
eBird,Photo,Indian Paradise-Flycatcher,S79746551,R,,
eBird,Photo,Indian Paradise-Flycatcher,S73241875,W,,
eBird,Photo,Indian Paradise-Flycatcher,S73481243,I,,1
eBird,Photo,Indian Paradise-Flycatcher,S80915688,W,,
eBird,Photo,Indian Paradise-Flycatcher,S73765524,W,,
eBird,Photo,Indian Paradise-Flycatcher,S73813964,W,,
eBird,Photo,Indian Paradise-Flycatcher,S79688885,R,,
eBird,Photo,Indian Paradise-Flycatcher,S74205994,R,,
eBird,Photo,Indian Paradise-Flycatcher,S74641223,R,,
eBird,Photo,Indian Paradise-Flycatcher,S74727801,W,,
eBird,Photo,Indian Paradise-Flycatcher,S74737511,I,,4
eBird,Photo,Indian Paradise-Flycatcher,S74737511,W,,
eBird,Photo,Indian Paradise-Flycatcher,S74765010,R,,
eBird,Photo,Indian Paradise-Flycatcher,S74765010,W,,
eBird,Photo,Indian Paradise-Flycatcher,S75470870,W,,
eBird,Photo,Indian Paradise-Flycatcher,S75213291,R,,
eBird,Photo,Indian Paradise-Flycatcher,S75281882,R,,
eBird,Photo,Indian Paradise-Flycatcher,S75281882,W,,
eBird,Photo,Indian Paradise-Flycatcher,S75282862,W,,
eBird,Photo,Indian Paradise-Flycatcher,S75472949,R,,
eBird,Photo,Indian Paradise-Flycatcher,S75290137,R,,
eBird,Photo,Indian Paradise-Flycatcher,S75284671,R,,
eBird,Photo,Indian Paradise-Flycatcher,S75283117,R,,
eBird,Photo,Indian Paradise-Flycatcher,S75370544,W,,
eBird,Photo,Indian Paradise-Flycatcher,S75345925,W,,
eBird,Photo,Indian Paradise-Flycatcher,S75335163,W,,
eBird,Photo,Indian Paradise-Flycatcher,S75283803,W,,
eBird,Photo,Indian Paradise-Flycatcher,S75283117,W,,
eBird,Photo,Indian Paradise-Flycatcher,S75368923,R,,
eBird,Photo,Indian Paradise-Flycatcher,S75420324,R,,
eBird,Photo,Indian Paradise-Flycatcher,S75626783,W,,
eBird,Photo,Indian Paradise-Flycatcher,S75472326,W,,
eBird,Photo,Indian Paradise-Flycatcher,S75847669,W,,
eBird,Photo,Indian Paradise-Flycatcher,S75582257,W,,
eBird,Photo,Indian Paradise-Flycatcher,S81719530,R,,
eBird,Photo,Indian Paradise-Flycatcher,S75627563,R,,
eBird,Photo,Indian Paradise-Flycatcher,S75680452,W,,
eBird,Photo,Indian Paradise-Flycatcher,S75731617,W,,
eBird,Photo,Indian Paradise-Flycatcher,S77007093,R,,
